title,artist,top genre,year,bpm
"Hey, Soul Sister",Train,neo mellow,2010,97
Love The Way You Lie,Eminem,detroit hip hop,2010,87
TiK ToK,Kesha,dance pop,2010,120
Bad Romance,Lady Gaga,dance pop,2010,119
Just the Way You Are,Bruno Mars,pop,2010,109
Baby,Justin Bieber,canadian pop,2010,65
Dynamite,Taio Cruz,dance pop,2010,120
Secrets,OneRepublic,dance pop,2010,148
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93
Only Girl (In The World),Rihanna,barbadian pop,2010,126
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128
Marry You,Bruno Mars,pop,2010,145
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130
Telephone,Lady Gaga,dance pop,2010,122
Like A G6,Far East Movement,dance pop,2010,125
OMG (feat. will.i.am),Usher,atl hip hop,2010,130
Eenie Meenie,Sean Kingston,dance pop,2010,121
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128
Alejandro,Lady Gaga,dance pop,2010,99
Your Love Is My Drug,Kesha,dance pop,2010,120
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130
Whataya Want from Me,Adam Lambert,australian pop,2010,186
Take It Off,Kesha,dance pop,2010,125
Misery,Maroon 5,pop,2010,103
All The Right Moves,OneRepublic,dance pop,2010,146
Animal,Neon Trees,indie pop,2010,148
Naturally,Selena Gomez & The Scene,dance pop,2010,133
I Like It,Enrique Iglesias,dance pop,2010,129
Teenage Dream,Katy Perry,dance pop,2010,120
California Gurls,Katy Perry,dance pop,2010,125
3,Britney Spears,dance pop,2010,135
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120
Imma Be,The Black Eyed Peas,dance pop,2010,92
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164
If I Had You,Adam Lambert,australian pop,2010,131
Rock That Body,The Black Eyed Peas,dance pop,2010,125
Dog Days Are Over,Florence + The Machine,art pop,2010,150
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104
Hard,Rihanna,barbadian pop,2010,182
Loca,Shakira,colombian pop,2010,112
You Lost Me,Christina Aguilera,dance pop,2010,43
Not Myself Tonight,Christina Aguilera,dance pop,2010,120
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80
Break Your Heart,Taio Cruz,dance pop,2010,122
Hello,Martin Solveig,big room,2010,128
A Thousand Years,Christina Perri,dance pop,2011,139
Someone Like You,Adele,british soul,2011,135
Give Me Everything,Pitbull,dance pop,2011,129
Just the Way You Are,Bruno Mars,pop,2011,109
Rolling in the Deep,Adele,british soul,2011,105
Run the World (Girls),Beyoncé,dance pop,2011,127
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128
Love On Top,Beyoncé,dance pop,2011,94
Grenade,Bruno Mars,pop,2011,110
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100
What the Hell,Avril Lavigne,canadian pop,2011,150
Born This Way,Lady Gaga,dance pop,2011,124
Monster,Kanye West,chicago rap,2011,125
Marry You,Bruno Mars,pop,2011,145
Best Thing I Never Had,Beyoncé,dance pop,2011,99
Party Rock Anthem,LMFAO,dance pop,2011,130
We R Who We R,Kesha,dance pop,2011,120
Price Tag,Jessie J,australian pop,2011,175
Good Life,OneRepublic,dance pop,2011,95
Just Cant Get Enough,The Black Eyed Peas,dance pop,2011,94
On The Floor,Jennifer Lopez,dance pop,2011,130
What's My Name?,Rihanna,barbadian pop,2011,100
Yeah 3x,Chris Brown,dance pop,2011,130
Without You (feat. Usher),David Guetta,dance pop,2011,128
Sexy And I Know It,LMFAO,dance pop,2011,130
The Edge Of Glory,Lady Gaga,dance pop,2011,128
E.T.,Katy Perry,dance pop,2011,152
Till the World Ends,Britney Spears,dance pop,2011,132
I Wanna Go,Britney Spears,dance pop,2011,130
Blow,Kesha,dance pop,2011,120
You And I,Lady Gaga,dance pop,2011,127
Judas,Lady Gaga,dance pop,2011,131
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126
Please Don't Go,Mike Posner,dance pop,2011,120
We Found Love,Rihanna,barbadian pop,2011,128
Marry The Night,Lady Gaga,dance pop,2011,131
1+1,Beyoncé,dance pop,2011,63
Hold It Against Me,Britney Spears,dance pop,2011,133
I'm Into You,Jennifer Lopez,dance pop,2011,84
Papi,Jennifer Lopez,dance pop,2011,120
Cheers (Drink To That),Rihanna,barbadian pop,2011,80
S&M Remix,Rihanna,barbadian pop,2011,128
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91
Jar of Hearts,Christina Perri,dance pop,2011,75
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80
Turning Page,Sleeping At Last,acoustic pop,2011,125
Super Bass,Nicki Minaj,dance pop,2011,127
Raise Your Glass,P!nk,dance pop,2011,122
Invading My Mind,Jennifer Lopez,dance pop,2011,129
